model,outcome,coef,se,p_value,stars,n_obs,n_clusters
Model 1: Basic,ln_admissoes,0.005636470268653476,0.03754499764145982,0.8807136214055156,,32988,
Model 2: FE,ln_admissoes,-0.021492506939190706,0.026833619721853143,0.4234609379145948,,32988,
Model 3: FE + Controls (MAIN),ln_admissoes,-0.027129515116567197,0.026402064856989444,0.3045558542965723,,32988,
Model 4: Continuous (2d),ln_admissoes,0.008967040359772456,0.08035394073368209,0.911180762716373,,32988,
Model 5: FE + Controls (4d),ln_admissoes,-0.024726036322779796,0.02658855900502376,0.3527541804230523,,32988,
Model 6: Continuous (4d),ln_admissoes,0.01164677696433656,0.07706833481311685,0.8799274343587893,,32988,
Model 1: Basic,ln_desligamentos,0.04323877634441653,0.03697228198206835,0.24264926540197496,,32988,
Model 2: FE,ln_desligamentos,0.01681462975482793,0.026917280330525102,0.5324093743747311,,32988,
Model 3: FE + Controls (MAIN),ln_desligamentos,0.01899999470536535,0.026814497599178658,0.4788532198666271,,32988,
Model 4: Continuous (2d),ln_desligamentos,0.045258292090491134,0.09051897328386276,0.617259512899653,,32988,
Model 5: FE + Controls (4d),ln_desligamentos,0.019646087637372866,0.026346936416281403,0.4561465308128878,,32988,
Model 6: Continuous (4d),ln_desligamentos,0.08055019381657033,0.08237166693584669,0.32850669046865066,,32988,
Model 1: Basic,saldo,-73.03578244831253,68.83008366859424,0.2890511661511166,,32988,
Model 2: FE,saldo,-77.35852000989438,69.6465684813904,0.2671097501640072,,32988,
Model 3: FE + Controls (MAIN),saldo,-77.67473148854323,69.6254800006175,0.265016737718478,,32988,
Model 4: Continuous (2d),saldo,-505.0500618129608,302.1787981667745,0.09514844300475489,*,32988,
Model 5: FE + Controls (4d),saldo,-142.4436334195638,73.44738791244463,0.05290053466357736,*,32988,
Model 6: Continuous (4d),saldo,-556.5886499865218,258.00185080302754,0.03136055251025538,**,32988,
Model 1: Basic,ln_salario_adm,0.033727517062414766,0.055231136788472884,0.5416447763226517,,32988,
Model 2: FE,ln_salario_adm,0.0088907259918229,0.042376702827135335,0.8338900906337137,,32988,
Model 3: FE + Controls (MAIN),ln_salario_adm,-0.0656167800870037,0.027789047313475878,0.018518057477775463,**,32988,
Model 4: Continuous (2d),ln_salario_adm,-0.15775954306187764,0.08314012889449507,0.05821855285607769,*,32988,
Model 5: FE + Controls (4d),ln_salario_adm,-0.06790385059519494,0.027298247774829625,0.013123554511808244,**,32988,
Model 6: Continuous (4d),ln_salario_adm,-0.09825515493186328,0.07039767329031078,0.1632933081981669,,32988,
Model 1: Basic,ln_salario_real_adm,0.03376253964645339,0.03775326615849445,0.3715069252564067,,32988,
Model 2: FE,ln_salario_real_adm,0.016173704376923687,0.029013035517153233,0.577409523445158,,32988,
Model 3: FE + Controls (MAIN),ln_salario_real_adm,-0.034081192837039934,0.019307708209421175,0.07802285192910152,*,32988,
Model 4: Continuous (2d),ln_salario_real_adm,-0.10017660323233164,0.06039036964958268,0.09765187771975947,*,32988,
Model 5: FE + Controls (4d),ln_salario_real_adm,-0.04491427068965541,0.01989805889206007,0.024337160201678643,**,32988,
Model 6: Continuous (4d),ln_salario_real_adm,-0.06530965297609989,0.055261490786434594,0.2377207247425035,,32988,
Model 1: Basic,pct_superior_adm,0.015006523916120652,0.005001245446035016,0.0028016972681039753,***,32988,
Model 2: FE,pct_superior_adm,0.01204112531030542,0.004571412755306526,0.008646362354790993,***,32988,
Model 3: FE + Controls (MAIN),pct_superior_adm,0.010283357379095515,0.004275291252508813,0.01644740560902269,**,32988,
Model 4: Continuous (2d),pct_superior_adm,0.0075456544190723495,0.010124061670299393,0.45635781279764975,,32988,
Model 5: FE + Controls (4d),pct_superior_adm,0.00607314179737463,0.0040071912980317245,0.1301336144431866,,32988,
Model 6: Continuous (4d),pct_superior_adm,0.0031045733982207786,0.010339670368733967,0.7640793890959532,,32988,
Model 1: Basic,ln_salario_mulher,0.025662910865848973,0.052764962299468234,0.626879689601537,,32988,
Model 2: FE,ln_salario_mulher,-0.0018507256834275239,0.04162668175828707,0.9645518033947778,,32988,
Model 3: FE + Controls (MAIN),ln_salario_mulher,-0.044537154113111516,0.036201665083871765,0.2190635582798801,,32988,
Model 4: Continuous (2d),ln_salario_mulher,-0.17488203833973462,0.11601650901657298,0.13221377268647272,,32988,
Model 5: FE + Controls (4d),ln_salario_mulher,-0.0483848874194046,0.039971965120249156,0.2265537579322887,,32988,
Model 6: Continuous (4d),ln_salario_mulher,-0.07454762486699222,0.11579493208952184,0.5199466236588428,,32988,
Model 1: Basic,ln_salario_homem,0.05477537490589767,0.03840999401402324,0.15434476930592633,,32988,
Model 2: FE,ln_salario_homem,0.03089197764124697,0.030770140575589657,0.31578476488545126,,32988,
Model 3: FE + Controls (MAIN),ln_salario_homem,0.0038885985325455745,0.02696702093457922,0.8853901455837154,,32988,
Model 4: Continuous (2d),ln_salario_homem,-0.023913808962901736,0.08724471445926117,0.7840976188498905,,32988,
Model 5: FE + Controls (4d),ln_salario_homem,-0.015656587760800852,0.02646600974780448,0.5543491631347579,,32988,
Model 6: Continuous (4d),ln_salario_homem,0.024448242158671665,0.07576104420056744,0.7470283289519637,,32988,
Model 1: Basic,ln_salario_jovem,-0.11015315134995615,0.061158971794034296,0.0721674201023772,*,32988,
Model 2: FE,ln_salario_jovem,-0.1218174764199787,0.053021243338455135,0.021916948727600083,**,32988,
Model 3: FE + Controls (MAIN),ln_salario_jovem,-0.13373540167727743,0.05220269306252482,0.010643916005113052,**,32988,
Model 4: Continuous (2d),ln_salario_jovem,-0.2828653994851642,0.12102561542319834,0.01974021198250009,**,32988,
Model 5: FE + Controls (4d),ln_salario_jovem,-0.18031350337867913,0.04829243820000454,0.00020576466503352542,***,32988,
Model 6: Continuous (4d),ln_salario_jovem,-0.20384571365854526,0.10568962155601379,0.0542159676837517,*,32988,
Model 1: Basic,ln_salario_naojovem,0.07796400070392052,0.04431138003879807,0.07898667961878814,*,32988,
Model 2: FE,ln_salario_naojovem,0.05117596053450305,0.03686880834105363,0.16561229644712738,,32988,
Model 3: FE + Controls (MAIN),ln_salario_naojovem,0.0024956922259459346,0.027484197764263474,0.9276767908999575,,32988,
Model 4: Continuous (2d),ln_salario_naojovem,0.044958816003741076,0.08373905293940381,0.5915324665047037,,32988,
Model 5: FE + Controls (4d),ln_salario_naojovem,-0.017932119476519848,0.025654535690410183,0.4848205811983979,,32988,
Model 6: Continuous (4d),ln_salario_naojovem,0.04143794572956154,0.07887482516550941,0.5995160307776661,,32988,
Model 1: Basic,ln_salario_branco,0.03566314476160506,0.04394183969562055,0.4173293763659123,,32988,
Model 2: FE,ln_salario_branco,0.01084714243602375,0.0381501425126082,0.7762529819109547,,32988,
Model 3: FE + Controls (MAIN),ln_salario_branco,-0.028495804262358673,0.03581679197802268,0.426565749869267,,32988,
Model 4: Continuous (2d),ln_salario_branco,-0.0770133284825173,0.107417564960356,0.4736697527152509,,32988,
Model 5: FE + Controls (4d),ln_salario_branco,-0.0341804627453129,0.03415859129735038,0.31738614031661716,,32988,
Model 6: Continuous (4d),ln_salario_branco,-0.06031003493184172,0.08820863479543498,0.49440398839908806,,32988,
Model 1: Basic,ln_salario_negro,0.15102501632499613,0.07883388630988987,0.05585231349863817,*,32988,
Model 2: FE,ln_salario_negro,0.11714561279768153,0.06848555532634457,0.08766444536888685,*,32988,
Model 3: FE + Controls (MAIN),ln_salario_negro,0.1105822035258963,0.06787215608850142,0.10375692283650784,,32988,
Model 4: Continuous (2d),ln_salario_negro,0.29194489093150594,0.190510828914764,0.1259194471724725,,32988,
Model 5: FE + Controls (4d),ln_salario_negro,0.036138762945404086,0.06996756512267453,0.6056819210438076,,32988,
Model 6: Continuous (4d),ln_salario_negro,0.313794142683422,0.1963884306212847,0.11058516030379129,,32988,
Model 1: Basic,ln_salario_superior,0.05817023469111826,0.058146267036808745,0.3174963792400769,,32988,
Model 2: FE,ln_salario_superior,0.011634331287748961,0.04162377201454611,0.7799441910083018,,32988,
Model 3: FE + Controls (MAIN),ln_salario_superior,-0.07750937245494907,0.04051309688236901,0.05617777982645511,*,32988,
Model 4: Continuous (2d),ln_salario_superior,-0.14459613931576526,0.14590591268037897,0.32205594763892553,,32988,
Model 5: FE + Controls (4d),ln_salario_superior,-0.06826993199513941,0.040254708324068154,0.09039115760656591,*,32988,
Model 6: Continuous (4d),ln_salario_superior,-0.08013623232249939,0.1326202016607224,0.5458932863157044,,32988,
Model 1: Basic,ln_salario_medio,-0.07996987103710247,0.04321672805951045,0.06471992523469638,*,32988,
Model 2: FE,ln_salario_medio,-0.09101971573848512,0.035305290835741986,0.010161903997447208,**,32988,
Model 3: FE + Controls (MAIN),ln_salario_medio,-0.084544813121781,0.031741048197823064,0.007929747566959522,***,32988,
Model 4: Continuous (2d),ln_salario_medio,-0.33029418328736804,0.08923793419649542,0.00023335950119296456,***,32988,
Model 5: FE + Controls (4d),ln_salario_medio,-0.11468184257611402,0.029586870285731356,0.00011730637196882832,***,32988,
Model 6: Continuous (4d),ln_salario_medio,-0.28907316369419844,0.08106205463410042,0.00038993319493796363,***,32988,
Model 1: Basic,ln_admissoes_mulher,-0.01446143527190298,0.03716522083216597,0.6973251609943163,,32988,
Model 2: FE,ln_admissoes_mulher,-0.04027751973346939,0.028080440620516473,0.15196671170663256,,32988,
Model 3: FE + Controls (MAIN),ln_admissoes_mulher,-0.046679029545475134,0.02616524839719252,0.07490499294298125,*,32988,
Model 4: Continuous (2d),ln_admissoes_mulher,-0.10221784371513482,0.08540072237979315,0.23178931894060084,,32988,
Model 5: FE + Controls (4d),ln_admissoes_mulher,-0.04081582604042795,0.026819945426395878,0.12855101882843445,,32988,
Model 6: Continuous (4d),ln_admissoes_mulher,-0.08377696907485287,0.08109459835937108,0.30196550548209466,,32988,
Model 1: Basic,ln_admissoes_homem,-0.0087775407837662,0.03531820770791183,0.803807656224667,,32988,
Model 2: FE,ln_admissoes_homem,-0.03401047116309499,0.02659111737214133,0.2013637363326628,,32988,
Model 3: FE + Controls (MAIN),ln_admissoes_homem,-0.03496907273488516,0.02621449964613739,0.1827007812218111,,32988,
Model 4: Continuous (2d),ln_admissoes_homem,-0.022324428761428084,0.07932462783749156,0.7784723616361555,,32988,
Model 5: FE + Controls (4d),ln_admissoes_homem,-0.031020171172090563,0.02639661721934768,0.24037724301902985,,32988,
Model 6: Continuous (4d),ln_admissoes_homem,-0.013370741446977755,0.07568153400039557,0.8598236858860255,,32988,
Model 1: Basic,ln_admissoes_jovem,-0.03439890206189415,0.037821876850200234,0.3634364991475305,,32988,
Model 2: FE,ln_admissoes_jovem,-0.058555175268152494,0.029382524200332282,0.046709400707755755,**,32988,
Model 3: FE + Controls (MAIN),ln_admissoes_jovem,-0.05580407026044009,0.02865933065702406,0.05196191025368235,*,32988,
Model 4: Continuous (2d),ln_admissoes_jovem,-0.0698366813161512,0.08420783035275904,0.40722877438965943,,32988,
Model 5: FE + Controls (4d),ln_admissoes_jovem,-0.05200521575263252,0.02854813324461417,0.06898096585543256,*,32988,
Model 6: Continuous (4d),ln_admissoes_jovem,-0.04569475599678098,0.0798939983832769,0.567565736487208,,32988,
Model 1: Basic,ln_admissoes_negro,0.014499665398819412,0.03194411059708346,0.6500523609894533,,32988,
Model 2: FE,ln_admissoes_negro,-0.003182620957434535,0.0274056156010414,0.9075864410511292,,32988,
Model 3: FE + Controls (MAIN),ln_admissoes_negro,-0.003190002642196455,0.02719720046810991,0.9066664976672987,,32988,
Model 4: Continuous (2d),ln_admissoes_negro,0.08803238624483556,0.08433894168889708,0.29698285177053685,,32988,
Model 5: FE + Controls (4d),ln_admissoes_negro,-0.013165601196160137,0.028169462121866946,0.6403962990860976,,32988,
Model 6: Continuous (4d),ln_admissoes_negro,0.04387264972805466,0.08311193567551883,0.597773085857193,,32988,
