t,coef,se,p_value,is_reference,is_pre,ci_low,ci_high
-12,-0.0038374768880510626,0.037946029229123886,0.9194796474821589,False,True,-0.07821169417713389,0.07053674040103175
-11,-0.008672622988094465,0.04527320466962419,0.8481472755199144,False,True,-0.09740810414055787,0.08006285816436895
-10,-0.0428952927856472,0.05720788550892945,0.4536473300264383,False,True,-0.15502274838314892,0.06923216281185451
-9,-0.05024491289488121,0.04704948725240423,0.2859686168818829,False,True,-0.14246190790959348,0.041972082119831076
-8,-0.007510992506146424,0.04133435169051123,0.8558665325864747,False,True,-0.08852632181954843,0.07350433680725559
-7,-0.04445169479499291,0.04157896106326192,0.2854393989061723,False,True,-0.12594645847898628,0.03704306888900045
-6,-0.04327969734093808,0.03660743240417823,0.23754788730008158,False,True,-0.1150302648531274,0.028470870171251238
-5,-0.052744353412390664,0.03526108785720885,0.13520208162156688,False,True,-0.12185608561252001,0.016367378787738675
-4,-0.05936669893359567,0.04880453149145441,0.22428280927855804,False,True,-0.1550235806568463,0.03629018278965497
-3,-0.026856627634558632,0.03748102652793348,0.47392480281463856,False,True,-0.10031943962930825,0.04660618436019098
-2,-0.016944987408891478,0.033218250241792015,0.610153088383314,False,True,-0.08205275788280383,0.04816278306502087
-1,0.0,0.0,,True,True,0.0,0.0
0,0.07784018532185027,0.03594204250656218,0.03070872774328892,False,False,0.007393782008988395,0.14828658863471217
1,0.008932757764246322,0.03899491195919478,0.818885238166319,False,False,-0.06749726967577545,0.08536278520426809
2,-0.09900954039717914,0.055755293642846156,0.07625215926438855,False,False,-0.20828991593715762,0.01027083514279932
3,-0.148782763894453,0.047441342057084786,0.0017918584727212306,False,False,-0.24176779432633916,-0.05579773346256682
4,-0.032430704055869126,0.040560193861082054,0.4242624405712685,False,False,-0.11192868402358996,0.047067275911851704
5,-0.0972319657536285,0.04074232943775939,0.017304265335005065,False,False,-0.1770869314516369,-0.017377000055620095
6,-0.044806333780108454,0.034427148749947456,0.19357056767941594,False,False,-0.11228354533000547,0.02267087776978856
7,-0.04084474191545807,0.037263464868111204,0.27345213817281544,False,False,-0.11388113305695602,0.03219164922603989
8,-0.09905208511534719,0.04419395719854487,0.025354959209619166,False,False,-0.18567224122449513,-0.012431929006199244
9,-0.060770586764458415,0.037925333598398774,0.10957565534902347,False,False,-0.13510424061732001,0.013563067088403186
10,-0.053653446860436736,0.0367510780676046,0.14481350849027508,False,False,-0.12568555987294175,0.018378666152068283
11,-0.030746671898570492,0.035207440985811224,0.38283316897533837,False,False,-0.09975325623076048,0.0382599124336195
12,0.07219760703946378,0.04741129453266894,0.12831376435141006,False,False,-0.020728530244567347,0.16512374432349491
13,-0.03910339120321024,0.05098085507993822,0.4433572268206625,False,False,-0.13902586715988915,0.06081908475346867
14,-0.11496849422005383,0.05606149601781078,0.04070509865066718,False,False,-0.22484902641496296,-0.005087962025144693
15,-0.09078511182762947,0.04975104778540059,0.06850796374815404,False,False,-0.18829716548701464,0.006726941831755692
16,-0.05480174582749232,0.045587559404268514,0.22976987790572,False,False,-0.14415336225985861,0.034549870604873974
17,0.007629559371878404,0.044761180139736345,0.8647108664887018,False,False,-0.08010235370200483,0.09536147244576165
18,-0.060087578588677075,0.04124952291548388,0.14570302434626914,False,False,-0.14093664350302548,0.020761486325671326
19,-0.051466780190684826,0.04094675513297445,0.20925002113579216,False,False,-0.13172242025131475,0.028788859869945095
20,-0.07706975096789297,0.04366172173463349,0.07802350920768308,False,False,-0.1626467255677746,0.008507223631988664
21,-0.03893952910805265,0.03967299409607607,0.32671817126388936,False,False,-0.11669859753636173,0.03881953932025643
22,-0.026668966912433867,0.04135690278808152,0.5192603839313437,False,False,-0.10772849637707364,0.05439056255220591
23,-0.016982325861841684,0.043021582625198215,0.693169039097139,False,False,-0.1013046278072302,0.06733997608354682
24,-0.03797410956231822,0.041092850746497454,0.35578657208169906,False,False,-0.11851609702545324,0.04256787790081679
