t,coef,se,p_value,is_reference,is_pre,ci_low,ci_high
-12,0.0216949027508632,0.04355235123662055,0.6185640625078714,False,True,-0.06366770567291308,0.10705751117463949
-11,0.027536701829087445,0.050512748775544444,0.5858483042033629,False,True,-0.07146828577097966,0.12654168942915456
-10,-0.02170696107513096,0.061327328283850686,0.7234932850576252,False,True,-0.1419085245114783,0.09849460236121638
-9,-0.056630241577526816,0.04992763664780937,0.25712397742358917,False,True,-0.15448840940723318,0.04122792625217955
-8,-0.01708245571877694,0.05057697225391732,0.7356632170836741,False,True,-0.11621332133645489,0.08204840989890101
-7,-0.06567770440879292,0.05206592302362012,0.20762102677880057,False,True,-0.16772691353508834,0.036371504717502515
-6,-0.05987256007528597,0.043320245255295604,0.16743486442720013,False,True,-0.14478024077566534,0.02503512062509341
-5,-0.048966156095583246,0.03972289851653766,0.21815142499125018,False,True,-0.12682303718799706,0.02889072499683057
-4,-0.03033993922894141,0.04993556850422688,0.5436845525684637,False,True,-0.1282136534972261,0.06753377503934327
-3,-0.027624013086578615,0.045289830125669873,0.5421231482080169,False,True,-0.11639208013289157,0.06114405395973433
-2,-0.026584857225871696,0.04443482299395968,0.5498629534998067,False,True,-0.11367711029403267,0.06050739584228927
-1,0.0,0.0,,True,True,0.0,0.0
0,0.0794927758767014,0.04410642486809604,0.07197842165911861,False,False,-0.006955816864766845,0.16594136861816963
1,0.025125995816983646,0.05029450690892747,0.6175476973149885,False,False,-0.0734512377245142,0.12370322935848149
2,-0.08466453321394837,0.05962015203977498,0.15608478737219889,False,False,-0.2015200312119073,0.03219096478401058
3,-0.16206212692673197,0.05219871094900313,0.0019903394975242517,False,False,-0.2643716003867781,-0.059752653466685846
4,-0.04872705822131495,0.04558289851409226,0.2854908613066549,False,False,-0.13806953930893578,0.04061542286630588
5,-0.09369140457055253,0.04695600900843764,0.046441574727085655,False,False,-0.18572518222709028,-0.001657626914014762
6,-0.048753338287941546,0.0482709140295777,0.3128870965827826,False,False,-0.14336432978591385,0.04585765321003075
7,-0.03337451381174223,0.049228903919132094,0.49805595160078164,False,False,-0.12986316549324114,0.06311413786975667
8,-0.08513327143553232,0.05026685641446747,0.09083219123117559,False,False,-0.18365631000788857,0.013389767136823924
9,-0.05784927382218532,0.04398067057109282,0.18887768699808882,False,False,-0.14405138814152724,0.028352840497156605
10,-0.07725881201189487,0.05047012371850781,0.12632656019763688,False,False,-0.17618025450017016,0.021662630476380437
11,-0.041647558731946546,0.044580573034533985,0.350555311574809,False,False,-0.12902548187963314,0.04573036441574006
12,0.0608281690972657,0.05775014299533644,0.29260905488946265,False,False,-0.052362111173593726,0.1740184493681251
13,-0.057934595951213225,0.05218557531828011,0.2673528552771258,False,False,-0.16021832357504223,0.04434913167261578
14,-0.12243917607255565,0.05866562789173299,0.03728458641860133,False,False,-0.2374238067403523,-0.007454545404758997
15,-0.08388568780498361,0.052651580735603554,0.11161342441470778,False,False,-0.1870827860467666,0.01931141043679936
16,-0.07528765603197156,0.05088728518895925,0.13950860041531188,False,False,-0.17502673500233168,0.02445142293838856
17,-0.013754923783909224,0.05268114678533322,0.7941028008183144,False,False,-0.11700997148316233,0.0895001239153439
18,-0.08623195750202942,0.04762576220191319,0.07067810985754841,False,False,-0.17957845141777928,0.0071145364137204375
19,-0.07204954978975406,0.0501179097262709,0.15104541348114897,False,False,-0.170280652853245,0.026181553273736904
20,-0.12827519031093035,0.05292440281042063,0.0156428932596544,False,False,-0.2320070198193548,-0.024543360802505923
21,-0.05401761876912903,0.04731460408482407,0.2540267394476201,False,False,-0.14675424277538418,0.03871900523712614
22,-0.08791957942918463,0.05142206668826142,0.08780356419638102,False,False,-0.18870683013817702,0.012867671279807757
23,-0.031176239482161926,0.05104963692137872,0.5416162263365507,False,False,-0.13123352784806422,0.06888104888374036
24,-0.06262299873488107,0.04625362880776461,0.17625384847155368,False,False,-0.1532801111980997,0.028034113728337556
