t,coef,se,p_value,is_reference,is_pre,ci_low,ci_high
-12,-0.009650393509376192,0.040440640642641655,0.8114695149344828,False,True,-0.08891404916895383,0.06961326215020146
-11,-0.03226987555749604,0.05013060462737827,0.5199945741982552,False,True,-0.13052586062715743,0.06598610951216537
-10,-0.07303661221165685,0.05979560220090662,0.22237860644975926,False,True,-0.19023599252543383,0.04416276810212012
-9,-0.03535552820527572,0.05402367026822575,0.5130646617266681,False,True,-0.1412419219309982,0.07053086552044674
-8,0.021013559003574222,0.04487232845519642,0.6397349874441396,False,True,-0.06693620476861076,0.10896332277575921
-7,-0.02761166580738624,0.047266206075551195,0.5593133533170382,False,True,-0.12025342971546657,0.0650300981006941
-6,-0.03856297601829474,0.044900967473088096,0.39075367046668497,False,True,-0.12656887226554742,0.04944292022895792
-5,-0.046467479783094116,0.042689159590255196,0.2767885770246483,False,True,-0.1301382325799943,0.03720327301380607
-4,-0.06477593934770991,0.05573172268258848,0.24556272362739073,False,True,-0.17401011580558334,0.044458237110163515
-3,-0.00871118030625119,0.042253701422980953,0.8367298432926127,False,True,-0.09152843509529386,0.07410607448279148
-2,0.006203347546949409,0.037466235619137804,0.8685473220154716,False,True,-0.06723047426656067,0.0796371693604595
-1,0.0,0.0,,True,True,0.0,0.0
0,0.0988320832184693,0.038664097486014855,0.01081728894182521,False,False,0.023050452145880182,0.17461371429105843
1,0.0048543725435828515,0.04360881209522055,0.9114010804190003,False,False,-0.08061889916304943,0.09032764425021514
2,-0.10538626590814726,0.06063973361983543,0.08271724369887012,False,False,-0.2242401438030247,0.013467611986730174
3,-0.1070545276292538,0.05027352948969377,0.033606079647059195,False,False,-0.2055906454290536,-0.00851840982945401
4,-0.03884908263374295,0.04638499108950911,0.4026101802966524,False,False,-0.1297636651691808,0.05206549990169491
5,-0.07540707521069469,0.04724058911122181,0.11093942572816196,False,False,-0.16799862986868944,0.01718447944730006
6,-0.030603232726132187,0.03932558318797471,0.4367432505735822,False,False,-0.10768137577456262,0.04647491032229824
7,-0.04747299663632649,0.03914782997672149,0.22571592034679377,False,False,-0.12420274339070062,0.029256750118047632
8,-0.10740097630274019,0.04882930048086374,0.02820470056281299,False,False,-0.2031064052452331,-0.011695547360247263
9,-0.05744891225241218,0.04551594015175111,0.207355692147559,False,False,-0.14666015494984436,0.03176233044502
10,-0.06555050482880055,0.04096460287877552,0.11006283747116052,False,False,-0.14584112647120057,0.014740116813599463
11,-0.05279087346911652,0.042563920530928334,0.2153376938001601,False,False,-0.13621615770973605,0.030634410771503008
12,0.004713938270789383,0.05277504423796544,0.9288550037963257,False,False,-0.09872514843562288,0.10815302497720164
13,-0.05182501454110247,0.054919593076951705,0.345710113103459,False,False,-0.15946741697192782,0.055817387889722875
14,-0.19089210194924508,0.06393992670794288,0.002941403803581766,False,False,-0.3162143582968131,-0.06556984560167703
15,-0.1405357077464054,0.054091846367395245,0.009594174353268814,False,False,-0.24655572662650008,-0.034515688866310706
16,-0.07186189685791579,0.05093856629138907,0.15881167450238642,False,False,-0.17170148678903835,0.027977693073206786
17,-0.02975575181684238,0.049511833450895146,0.5480684020535072,False,False,-0.12679894538059686,0.0672874417469121
18,-0.07082927884647236,0.04506625613485384,0.11653078293503327,False,False,-0.1591591408707859,0.017500583177841172
19,-0.06939369781314213,0.04433634380283076,0.11804793852193063,False,False,-0.15629293166669042,0.017505536040406167
20,-0.11617042813223684,0.04872258849893332,0.017406451659308875,False,False,-0.21166670159014617,-0.020674154674327525
21,-0.09328986180418301,0.047206921480477386,0.04857041870222267,False,False,-0.1858154279059187,-0.0007642957024473346
22,-0.05740925740069835,0.04823235523110787,0.23439221733352844,False,False,-0.15194467365366976,0.03712615885227307
23,-0.07676847609790333,0.04961006982070372,0.12226157819675598,False,False,-0.1740042129464826,0.020467260750675967
24,-0.06534317851000129,0.045555425563133134,0.15196544303095627,False,False,-0.15463181261374223,0.023945455593739645
