t,coef,se,p_value,is_reference,is_pre,ci_low,ci_high
-12,-0.052052904717655044,0.04997370507766662,0.2979952634811569,False,True,-0.15000136666988162,0.04589555723457153
-11,-0.035801359660926034,0.06815767872542688,0.5995791138758451,False,True,-0.16939040996276272,0.09778769064091064
-10,-0.06310655122488092,0.06803175540865589,0.3539692116191564,False,True,-0.19644879182584646,0.07023568937608461
-9,-0.05342426200151536,0.06611354198549536,0.4193572079831691,False,True,-0.18300680429308624,0.07615828029005554
-8,0.003209251112675559,0.06094690197278844,0.9580223364814089,False,True,-0.11624667675398978,0.1226651789793409
-7,-0.00825567114321899,0.0604491555268825,0.8914127605636293,False,True,-0.1267360159759087,0.11022467368947071
-6,-0.05118080045142191,0.057100140672185204,0.37041783049562094,False,True,-0.1630970761689049,0.06073547526606109
-5,-0.05310207247538014,0.058021767849335916,0.36043293947000965,False,True,-0.16682473746007853,0.060620592509318255
-4,-0.04103223049041358,0.06520436452585991,0.5293903117058281,False,True,-0.168832784961099,0.08676832398027184
-3,-0.0311777240110036,0.05600882250701426,0.5779598522885085,False,True,-0.14095501612475153,0.07859956810274434
-2,-0.034119269437362966,0.051648597115939734,0.5091085494101586,False,True,-0.13535051978460486,0.06711198090987891
-1,0.0,0.0,,True,True,0.0,0.0
0,0.12213371049239778,0.052464327256411106,0.020232105273036316,False,False,0.019303629069832018,0.22496379191496355
1,-0.05846781266568362,0.06375225595340386,0.3594372136456636,False,False,-0.1834222343343552,0.06648660900298795
2,-0.02456060854497627,0.06996597043091725,0.7256787043274135,False,False,-0.16169391058957408,0.11257269349962154
3,-0.0841699912926906,0.057558498778713045,0.14414879345537712,False,False,-0.19698464889896816,0.028644666313586975
4,-0.0031830451776753825,0.05752759482940413,0.9558925598020225,False,False,-0.11593713104330748,0.10957104068795671
5,-0.004837016157111569,0.059537327692318946,0.9352742537905168,False,False,-0.12153017843405671,0.11185614611983356
6,0.0375619628399072,0.055231139789965286,0.49670019816290933,False,False,-0.07069107114842477,0.14581499682823915
7,-0.009563119351935346,0.05823094290210323,0.8696049333200988,False,False,-0.12369576744005768,0.10456952873618698
8,-0.005254058739049006,0.0604144960472666,0.9307255793773264,False,False,-0.12366647099169154,0.11315835351359352
9,0.03451308060539804,0.054481702448032014,0.5266507293928222,False,False,-0.07227105619274471,0.1412972174035408
10,-0.0315376386330195,0.058798550857292,0.5918944453225947,False,False,-0.1467827983133118,0.08370752104727283
11,-0.05321325336156235,0.05588012296351205,0.341323812504122,False,False,-0.16273829437004597,0.05631178764692127
12,0.05093076123849416,0.0642692362073002,0.42839210104566305,False,False,-0.07503694172781422,0.17689846420480254
13,-0.05558872624025336,0.07179645407086914,0.43907170005100093,False,False,-0.19630977621915685,0.08513232373865015
14,-0.10668281496403238,0.07453274325214734,0.1528259457671013,False,False,-0.2527669917382412,0.03940136181017641
15,-0.15920594747753056,0.06667378953629574,0.017242611804325403,False,False,-0.2898865749686702,-0.028525319986390907
16,-0.11635614459127147,0.0664237143361923,0.08030904953928109,False,False,-0.24654662469020838,0.01383433550766544
17,-0.047389950314706185,0.06107451589467704,0.43807855078099633,False,False,-0.16709600146827316,0.07231610083886081
18,-0.08447899587698841,0.06066239013649234,0.164230874818998,False,False,-0.2033772805445134,0.03441928879053657
19,-0.08588673878729185,0.06528681960643458,0.1888120693687716,False,False,-0.2138489052159036,0.042075427641319926
20,-0.09915842455478567,0.06573201830856586,0.13192299392562568,False,False,-0.22799318043957473,0.0296763313300034
21,-0.004069689591081045,0.05847009270816422,0.9445318640753375,False,False,-0.11867107129908293,0.11053169211692083
22,-0.10010778391843717,0.057834615080110285,0.0839550761202299,False,False,-0.21346362947545333,0.013248061638578987
23,-0.009779275006156565,0.0615121933682376,0.8737348920967374,False,False,-0.13034317400790224,0.11078462399558912
24,-0.07708144351914188,0.05471331997061538,0.1593821083599012,False,False,-0.18431955066154804,0.030156663623264274
