t,coef,se,p_value,is_reference,is_pre,ci_low,ci_high
-12,0.01226103595327056,0.07609770710454535,0.8720489118879158,False,True,-0.1368904699716383,0.1614125418781794
-11,0.010578963864842897,0.08239727488716589,0.8978816622778907,False,True,-0.15091969491400226,0.17207762264368803
-10,0.06505657852016186,0.10763860619662205,0.5457972278289647,False,True,-0.14591508962521735,0.27602824666554104
-9,-0.008322558330419592,0.08393836834477936,0.9210501601822789,False,True,-0.1728417602861871,0.15619664362534794
-8,-0.05672806492776492,0.09676590672087847,0.5579247501784965,False,True,-0.24638924210068672,0.1329331122451569
-7,-0.04184475895363413,0.09774623408570267,0.6687280981516377,False,True,-0.23342737776161135,0.1497378598543431
-6,0.037646332197397464,0.09751495878074436,0.6995852078941205,False,True,-0.15348298701286148,0.2287756514076564
-5,-0.04017001382740636,0.10431691026810587,0.700310956723289,False,True,-0.24463115795289386,0.16429113029808112
-4,0.1292372458933401,0.09800969408784037,0.18777786708064936,False,True,-0.06286175451882703,0.3213362463055072
-3,-0.01943135195120302,0.09249697017562064,0.8336768437075308,False,True,-0.20072541349541947,0.16186270959301344
-2,-0.054945576083303874,0.09564050568628886,0.5658344825504669,False,True,-0.24240096722843002,0.1325098150618223
-1,0.0,0.0,,True,True,0.0,0.0
0,0.0011703443105299113,0.10536636402514614,0.9911413022572202,False,False,-0.20534772917875652,0.20768841779981637
1,0.08094507981077907,0.08639916726032458,0.3491838351410592,False,False,-0.08839728801945711,0.25028744764101524
2,0.02570125519720436,0.09839145134684492,0.794012882154602,False,False,-0.16714598944261166,0.2185484998370204
3,-0.2673948280243414,0.1325972643372912,0.04416307484008586,False,False,-0.527285466125432,-0.0075041899232506926
4,-0.01799098015940125,0.10665101318739117,0.8660946479894114,False,False,-0.22702696600668795,0.19104500568788543
5,-0.0636746904905417,0.08045752743907672,0.42900503473712526,False,False,-0.22137144427113206,0.09402206329004867
6,-0.09613183112587367,0.07938277222548884,0.2263543360927791,False,False,-0.25172206468783176,0.05945840243608444
7,-0.1506583625771259,0.1420886023869116,0.2894099395439853,False,False,-0.42915202325547264,0.12783529810122085
8,-0.02106466601109612,0.11122663872180193,0.8498522080751791,False,False,-0.23906887790582787,0.19693954588363566
9,-0.15714307779127137,0.11644156916634575,0.17764842806561054,False,False,-0.385368553357309,0.0710823977747663
10,-0.07650619881855743,0.09507826129969264,0.42131723725266323,False,False,-0.262859590965955,0.10984719332884015
11,-0.11542858178112483,0.08805797956685135,0.19039610537900242,False,False,-0.28802222173215347,0.057165058169903804
12,-0.09481182606521611,0.1214608178267397,0.4353342840825394,False,False,-0.33287502900562593,0.14325137687519368
13,-0.2637574635222025,0.16845833319059986,0.11791946648273743,False,False,-0.5939357965757781,0.06642086953137322
14,0.035246642642191885,0.09947440305249916,0.7232114523498594,False,False,-0.15972318734070648,0.23021647262509023
15,0.027807927262778365,0.09324474643331879,0.7656299799273221,False,False,-0.15495177574652647,0.2105676302720832
16,-0.1593448272911913,0.08961802871516886,0.07588035704801643,False,False,-0.3349961635729223,0.016306508990539675
17,-0.18819200109311846,0.12650731790760578,0.13735892503722136,False,False,-0.4361463441920258,0.059762342005788865
18,-0.12686354707984285,0.08115898308372815,0.11852140894832552,False,False,-0.28593515392395,0.03220805976426433
19,-0.005122582619291959,0.09518328307664603,0.9570972111094003,False,False,-0.19168181744951818,0.18143665221093425
20,-0.05813763210807768,0.09730921884926826,0.5504206954493056,False,False,-0.24886370105264347,0.1325884368364881
21,-0.013201109884906229,0.0951847158960287,0.8897400655091674,False,False,-0.19976315304112247,0.17336093327131002
22,-0.02670905029884858,0.09229653694578363,0.7723837986223734,False,False,-0.20761026271258448,0.15419216211488734
23,0.06039502777836054,0.09212580019910076,0.5123400976655796,False,False,-0.12017154061187696,0.24096159616859802
24,-0.019958169807816492,0.07300832707023391,0.7846599156050207,False,False,-0.16305449086547497,0.12313815124984197
