t,coef,se,p_value,is_reference,is_pre,ci_low,ci_high
-12,0.24730934941201368,0.1603353011791947,0.123467754349325,False,True,-0.06694784089920794,0.5615665397232353
-11,0.11036506023083426,0.1530653467364729,0.47115796167338586,False,True,-0.1896430193726526,0.4103731398343211
-10,0.2638663749908873,0.17100450570378872,0.1233253926406106,False,True,-0.07130245618853859,0.5990352061703131
-9,0.05156849011766627,0.15520967781593567,0.7398109937795367,False,True,-0.2526424784015676,0.3557794586369002
-8,0.10999540227267007,0.18967407502042358,0.562177938151557,False,True,-0.2617657847673601,0.48175658931270027
-7,0.09714868361448566,0.20550078176139688,0.6365620890784704,False,True,-0.30563284863785223,0.4999302158668235
-6,0.2559387493400627,0.19386597408786926,0.18725457836112147,False,True,-0.124038559872161,0.6359160585522865
-5,0.2108871796573591,0.1663515216058141,0.2053677266645273,False,True,-0.11516180269003651,0.5369361620047547
-4,0.36696911391814563,0.1889403663178926,0.05255376980738724,False,True,-0.0033540040649238656,0.7372922319012152
-3,0.0886405108951673,0.18469416088382926,0.6314433451099433,False,True,-0.27336004443713807,0.45064106622747263
-2,0.07245169228695574,0.1910792704335464,0.7046891526859387,False,True,-0.3020636777627952,0.4469670623367067
-1,0.0,0.0,,True,True,0.0,0.0
0,-0.08472784555101986,0.2157793424082737,0.6947041004347305,False,False,-0.5076553566712363,0.3381996655691966
1,0.1372626236746744,0.2224372663503041,0.5374025483199052,False,False,-0.29871441837192164,0.5732396657212704
2,0.27001785217660296,0.20550966706155352,0.18936173307721393,False,False,-0.13278109526404192,0.6728167996172478
3,-0.07345658924275246,0.16367723042959864,0.6537384762519136,False,False,-0.3942639608847658,0.2473507823992609
4,0.17990469161975328,0.16939041256489762,0.2886115771301365,False,False,-0.15210051700744606,0.5119099002469526
5,-0.11791225254052898,0.18824530548958907,0.5312962636618206,False,False,-0.4868730513001236,0.2510485462190656
6,0.030931636824251197,0.19224315154197363,0.872225079440238,False,False,-0.3458649401980171,0.4077282138465195
7,0.07443652707173075,0.1939305103361531,0.7012336806744157,False,False,-0.30566727318712933,0.45454032733059085
8,0.08024424714147901,0.1734071237831954,0.6437034579714633,False,False,-0.25963371547358394,0.420122209756542
9,0.01435556550516757,0.19489110703377652,0.9413048457208428,False,False,-0.3676310042810344,0.3963421352913696
10,-0.10160455905932314,0.21338055978493287,0.6341217596618334,False,False,-0.5198304562377916,0.3166213381191453
11,-0.1363059394718161,0.19287825984380957,0.48001867767510253,False,False,-0.5143473287656829,0.24173544982205067
12,-0.01833479803373411,0.20267246875694042,0.9279464213204573,False,False,-0.4155728367973373,0.3789032407298691
13,0.016061305947611758,0.191893734027453,0.9333224566537317,False,False,-0.36005041274619615,0.3921730246414196
14,0.105619900655235,0.16747504455986742,0.528491941546334,False,False,-0.22263118668210516,0.4338709879925752
15,0.21409124935008908,0.16826474354635748,0.20372052288005404,False,False,-0.11570764800077157,0.5438901467009497
16,0.06672150238283489,0.20956863534755987,0.7503060295158595,False,False,-0.34403302289838245,0.4774760276640523
17,0.07632663042266545,0.18358210943643624,0.6777255370532851,False,False,-0.28349430407274956,0.4361475649180805
18,0.032997487680665315,0.17652592378945048,0.8517781240034936,False,False,-0.31299332294665766,0.37898829830798825
19,0.03154149116317363,0.17230117024505476,0.8548098466218272,False,False,-0.3061688025171337,0.3692517848434809
20,-0.007589104200629697,0.20704062486387229,0.9707716216344524,False,False,-0.41338872893381934,0.39821052053255995
21,0.29668520134308196,0.19621745205649366,0.1310311729865863,False,False,-0.08790100468764561,0.6812714073738095
22,-0.07472783221139062,0.183939056879483,0.6846869724358329,False,False,-0.4352483836951773,0.2857927192723961
23,-0.023121301532803024,0.2001605068900916,0.9080748052940253,False,False,-0.41543589503738254,0.3691932919717765
24,0.15158135469022324,0.1681100389161006,0.367572889314395,False,False,-0.1779143215853339,0.48107703096578036
