t,coef,se,p_value,is_reference,is_pre,ci_low,ci_high
-12,0.018719536228947866,0.09009650179405215,0.8354743050057785,False,True,-0.15786960728739435,0.1953086797452901
-11,0.01980456474210428,0.10128878913121292,0.8450446395693945,False,True,-0.17872146195507302,0.2183305914392816
-10,0.060853031145235624,0.11479599071466322,0.5962319216535099,False,True,-0.16414711065550427,0.2858531729459755
-9,0.13429810739486425,0.12154157681851695,0.269601761077118,False,True,-0.10392338316942895,0.37251959795915746
-8,0.03462395196273592,0.12026894350346283,0.7735276674751523,False,True,-0.20110317730405125,0.27035108122952306
-7,0.016739967315155663,0.1354655762305338,0.9016924447116696,False,True,-0.24877256209669055,0.28225249672700187
-6,0.09218116114465741,0.13280207685055526,0.48786088394149996,False,True,-0.1681109094824309,0.3524732317717457
-5,0.08665814507740735,0.09652144719977246,0.3696296803383059,False,True,-0.10252389143414667,0.2758401815889614
-4,0.23285638302864115,0.13311483707456462,0.08072947891060811,False,True,-0.028048697637505504,0.4937614636947878
-3,-0.08839913133922377,0.11324971564719934,0.4353505918329601,False,True,-0.3103685740077345,0.13357031132928693
-2,0.027326833866137913,0.14582007203420574,0.8514067330262249,False,True,-0.25848050732090533,0.3131341750531812
-1,0.0,0.0,,True,True,0.0,0.0
0,-0.02901207966618939,0.10625543530950844,0.7849115386358698,False,False,-0.2372727328728259,0.17924857354044715
1,0.18091769020356982,0.12684539375820966,0.1542829909291099,False,False,-0.06769928156252111,0.4295346619696607
2,0.06569975421443454,0.14147686575236915,0.6425327786557156,False,False,-0.21159490266020897,0.342994411089078
3,-0.0702159545601629,0.12542898736879377,0.5758110840426052,False,False,-0.3160567698029987,0.17562486068267286
4,0.02315027495159756,0.11901616200204833,0.8458365698082351,False,False,-0.21012140257241718,0.2564219524756123
5,-0.1683424418318249,0.12283233529280871,0.17101869494477984,False,False,-0.40909381900572994,0.07240893534208018
6,-0.06608686634591089,0.11647096027104462,0.5706379702886926,False,False,-0.29436994847715836,0.16219621578533655
7,-0.08497286720915365,0.0960587849133334,0.3767150748953001,False,False,-0.27324808563928715,0.10330235122097983
8,-0.08075863432770895,0.1406115749333622,0.565944454108402,False,False,-0.3563573211970989,0.19484005254168096
9,-0.26129799636474793,0.1218529099370775,0.032386221409725025,False,False,-0.5001296998414198,-0.022466292888076056
10,-0.14853131523460295,0.12165102195595809,0.22255848233863418,False,False,-0.3869673182682808,0.0899046877990749
11,-0.1363347934206162,0.11905349682191842,0.2525808786163981,False,False,-0.3696796471915763,0.0970100603503439
12,-0.2150714468989889,0.12796482819060714,0.09331700433160806,False,False,-0.46588251015257887,0.03573961635460107
13,-0.31924770955512555,0.14427629727425187,0.027273633375417328,False,False,-0.6020292522126591,-0.03646616689759191
14,-0.1016566920898969,0.09832339593375412,0.3015802551521951,False,False,-0.294370548120055,0.09105716394026118
15,0.11106600173729628,0.15147060898384881,0.4636788681163253,False,False,-0.1858163918710474,0.40794839534564
16,-0.18980962425052114,0.10567332594429431,0.07294444178724602,False,False,-0.396929343101338,0.0173100946002957
17,-0.10884431338103144,0.16562892993427203,0.5113203344792958,False,False,-0.4334770160522046,0.2157883892901417
18,-0.16682859642962605,0.16562376706956114,0.3141908235184945,False,False,-0.49145117988596587,0.15779398702671377
19,-0.22373875817447314,0.12476301479248728,0.0734044253902928,False,False,-0.4682742671677482,0.020796750818801918
20,0.02405473857249851,0.11186799803456084,0.8298153906929315,False,False,-0.19520653757524073,0.24331601472023776
21,-0.026344863124192295,0.09803586498833558,0.7882281910308224,False,False,-0.21849515850133003,0.16580543225294544
22,0.02087376461296872,0.15028539855694661,0.8895783109316502,False,False,-0.27368561655864665,0.31543314578458403
23,0.2328419713103887,0.1399594760012133,0.09668358550258804,False,False,-0.041478601651989355,0.5071625442727667
24,0.034382758521761474,0.1214622132300899,0.7772136224859181,False,False,-0.20368317940921474,0.27244869645273767
