t,coef,se,p_value,is_reference,is_pre,ci_low,ci_high
-12,0.24302880355313208,0.1336116055366337,0.06939977446036938,False,True,-0.018849943298669986,0.5049075504049342
-11,0.16911013253843057,0.14426485322751717,0.24155326751424733,False,True,-0.11364897978750307,0.4518692448643642
-10,0.267482357101176,0.17812817149646337,0.13369567162481477,False,True,-0.08164885903189217,0.6166135732342442
-9,0.09357241066978239,0.1595827476818431,0.557846538163342,False,True,-0.21920977478663012,0.4063545961261949
-8,0.19728683232909014,0.15310347994670745,0.19801694396223501,False,True,-0.10279598836645645,0.49736965302463676
-7,0.08499167887755521,0.16008702308979164,0.5956693792173811,False,True,-0.2287788863784364,0.39876224413354683
-6,0.2980932578326104,0.1522775359886771,0.05072350746707044,False,True,-0.0003707127051966741,0.5965572283704175
-5,0.212762120798495,0.15305478294060962,0.16498969177397993,False,True,-0.08722525376509987,0.5127494953620899
-4,0.16075341719267733,0.15816875944050385,0.3098583543047442,False,True,-0.14925735131071022,0.4707641856960649
-3,0.1704574849757034,0.16229728611669805,0.29399369668809494,False,True,-0.14764519581302477,0.48856016576443156
-2,0.17072629341850326,0.15122822529798932,0.2593578281066389,False,True,-0.12568102816555582,0.46713361500256234
-1,0.0,0.0,,True,True,0.0,0.0
0,0.5419700491395755,0.15928986454552524,0.0007103764669975643,False,False,0.229761914630346,0.8541781836488049
1,0.18281129132126758,0.14972992572157443,0.22256684116086145,False,False,-0.1106593630930183,0.4762819457355535
2,0.05040701469412749,0.18278244185489909,0.782810821740743,False,False,-0.3078465713414747,0.4086606007297297
3,0.1333923474182508,0.18579830625766433,0.47306023525352314,False,False,-0.2307723328467713,0.49755702768327287
4,0.3636331313127565,0.16653130877330005,0.02936305938266126,False,False,0.037231766117088394,0.6900344965084246
5,-0.038077593960563,0.17317040799068492,0.8260320893199182,False,False,-0.37749159362230544,0.3013364057011795
6,0.10685896000441324,0.17755504609865527,0.5475007348093359,False,False,-0.24114893034895107,0.4548668503577776
7,0.13853566642408832,0.16918251243777327,0.4131807097210216,False,False,-0.19306205795394726,0.4701333908021239
8,0.0917774242433227,0.17576481425377222,0.6017427887647082,False,False,-0.25272161169407087,0.43627646018071625
9,-0.056002528114906934,0.16887878855069394,0.7402915709829296,False,False,-0.387004953674267,0.2749998974444532
10,0.012790466533443992,0.13669143001746178,0.9254791364048862,False,False,-0.2551247363007811,0.2807056693676691
11,0.1814162564971973,0.17246489617356617,0.29324886307454734,False,False,-0.1566149400029924,0.519447452997387
12,0.16319523290484614,0.15106306014855564,0.28041798023429276,False,False,-0.13288836498632292,0.45927883079601517
13,0.10085522508723996,0.1742441851925514,0.5629212423079961,False,False,-0.24066337789016076,0.44237382806464065
14,0.24522122174905006,0.17437443431482724,0.16013229999088274,False,False,-0.09655266950801131,0.5869951130061114
15,0.17972053078911376,0.16599837054287814,0.2793729205413753,False,False,-0.14563627547492736,0.5050773370531549
16,0.232214523189251,0.16550868974178504,0.16110053536303148,False,False,-0.09218250870464767,0.5566115550831496
17,0.11011766729289027,0.17302549493954605,0.524731653074765,False,False,-0.22901230278861998,0.44924763737440054
18,0.04974556681308233,0.16653909434897401,0.7652662138990984,False,False,-0.2766710581109067,0.3761621917370714
19,0.16205772997704396,0.1799818951263013,0.36824656556500535,False,False,-0.19070678447050657,0.5148222444245945
20,0.17818260971938998,0.1789501090761518,0.31977403125610215,False,False,-0.17255960406986753,0.5289248235086474
21,0.12408470564081893,0.18307470086624103,0.4981596645959514,False,False,-0.2347417080570135,0.48291111933865133
22,0.14799163867820378,0.1718701742081502,0.38953008421546986,False,False,-0.1888739027697706,0.4848571801261782
23,0.31836005519951327,0.1602103581984251,0.0473411347801187,False,False,0.0043477531306000405,0.6323723572684266
24,0.18444083526978722,0.13348590672819147,0.1675474338840588,False,False,-0.07719154191746808,0.4460732124570425
