t,coef,se,p_value,is_reference,is_pre,ci_low,ci_high
-12,-0.05990604264999328,0.060615123588406476,0.32338542842433604,False,True,-0.17871168488326997,0.05889959958328341
-11,0.05812615338055867,0.0717878603609451,0.4184231207524187,False,True,-0.08257805292689373,0.19883035968801105
-10,-0.06129094293709048,0.07631514485518846,0.42220375276166044,False,True,-0.21086862685325986,0.0882867409790789
-9,-0.09170558920888211,0.09606593151543473,0.34014178331886,False,True,-0.27999481497913414,0.09658363656136995
-8,0.014974671478091091,0.08975894092203782,0.8675558723776358,False,True,-0.16095285272910304,0.19090219568528521
-7,-0.024862833897449702,0.10356457799031549,0.8103536906623039,False,True,-0.22784940675846804,0.17812373896356865
-6,-0.16250798660352986,0.10337620110867828,0.1164528633608155,False,True,-0.36512534077653924,0.040109367569479554
-5,-0.05602936689929922,0.10488340016143319,0.5933879036070353,False,True,-0.26160083121570826,0.14954209741710983
-4,-0.05129694760663096,0.1023653013127198,0.6164646916835474,False,True,-0.25193293817956175,0.14933904296629985
-3,-0.0011637700849419484,0.07180080954845053,0.9870733504021394,False,True,-0.14189335679990497,0.13956581663002107
-2,-0.1547031477289545,0.11192571030167461,0.16740325473770867,False,True,-0.37407753992023673,0.06467124446232775
-1,0.0,0.0,,True,True,0.0,0.0
0,-0.07216747545811818,0.0932143261709894,0.43909790400235904,False,False,-0.2548675547532574,0.11053260383702106
1,0.04340776789977344,0.07300605420496732,0.5523399720032425,False,False,-0.09968409834196251,0.18649963414150939
2,-0.25500844694171315,0.12275048115252273,0.0381655065943145,False,False,-0.49559939000065767,-0.014417503882768606
3,-0.14159476540819313,0.08021117937250419,0.07800355170663664,False,False,-0.2988086769783013,0.015619146161915065
4,0.022227695763821668,0.08388299760906776,0.7911083386811595,False,False,-0.14218297954995113,0.18663837107759446
5,0.07140828001306947,0.06988874668350205,0.30729637277889776,False,False,-0.06557366348659453,0.20839022351273345
6,0.0057023161118869735,0.05855647781628481,0.9224545271253186,False,False,-0.10906838040803125,0.1204730126318052
7,0.0035614310688170275,0.08923368741192411,0.9681765392305235,False,False,-0.1713365962585542,0.1784594583961883
8,-0.046111581658462665,0.06961076518385446,0.507944939780467,False,False,-0.18254868141881742,0.0903255181018921
9,-0.22035980870296254,0.09879696034674448,0.02607135041080899,False,False,-0.4140018509825817,-0.026717766423343364
10,-0.14762658667298978,0.09163694218859887,0.1076834358911598,False,False,-0.32723499336264356,0.031981820016664
11,0.05228604114463893,0.09021726427760957,0.5624212837533473,False,False,-0.12453979683947582,0.2291118791287537
12,-0.20508019682305167,0.11219162522187244,0.06803198079868533,False,False,-0.42497578225792165,0.014815388611818303
13,-0.19869990486931202,0.12748815818633638,0.1196006894956152,False,False,-0.44857669491453134,0.051176885175907294
14,-0.04248082508164813,0.09321287640249148,0.6487345812946748,False,False,-0.22517806283053143,0.14021641266723517
15,-0.013407604742775501,0.1174965686350194,0.9091865853468162,False,False,-0.24370087926741352,0.21688566978186252
16,-0.15413560127942944,0.08382958079032489,0.06643458870142904,False,False,-0.3184415796284662,0.010170377069607356
17,-0.08496262917221611,0.08920981004361156,0.3412650810932245,False,False,-0.25981385685769476,0.08988859851326253
18,-0.030089433964652162,0.06255747758632235,0.630692127135255,False,False,-0.15270209003384397,0.09252322210453964
19,0.02532442754805718,0.07538254035598253,0.7370241505854334,False,False,-0.12242535154966859,0.17307420664578294
20,-0.003112630444807275,0.06666626139814319,0.9627753505220065,False,False,-0.13377850278516792,0.12755324189555337
21,0.007607121834755837,0.08191896794493957,0.9260431731927921,False,False,-0.1529540553373257,0.16816829900683739
22,0.013355832159891529,0.08553413775138341,0.8759679481198046,False,False,-0.15429107783281995,0.181002742152603
23,0.0728434848808544,0.07667440575456125,0.3424591647853754,False,False,-0.07743835039808564,0.22312532015979444
24,-0.045444047253160216,0.06804922065970974,0.5044993090816365,False,False,-0.1788205197461913,0.08793242523987087
