t,coef,se,p_value,is_reference,is_pre,ci_low,ci_high
-12,-0.015626845881886398,0.05143844055662087,0.761383149162111,False,True,-0.1164461893728633,0.0851924976090905
-11,-0.018035496497744583,0.05795898760785824,0.755769427568763,False,True,-0.13163511220914673,0.09556411921365757
-10,0.015718479439571106,0.07696658398627527,0.8382440558957875,False,True,-0.13513602517352843,0.16657298405267065
-9,-0.02593172715188576,0.05783868277861114,0.6540583359823453,False,True,-0.1392955453979636,0.08743209109419209
-8,-0.02848837421635344,0.06540656016739856,0.6633068483305173,False,True,-0.15668523214445462,0.09970848371174773
-7,-0.026230604742653985,0.06631714000976816,0.692584037955057,False,True,-0.15621219916179957,0.1037509896764916
-6,-0.00014623605275203047,0.06595524755122407,0.9982316349682006,False,True,-0.1294185212531512,0.12912604914764717
-5,-0.024836554977424225,0.07100728676600945,0.7266250267476924,False,True,-0.16401083703880276,0.1143377270839543
-4,0.08782103149998681,0.06816987034288623,0.19812728597214946,False,True,-0.04579191437207018,0.2214339773720438
-3,-0.014411852952087193,0.06512418680527962,0.8249323338983365,False,True,-0.14205525909043523,0.11323155318626085
-2,-0.028870031200952634,0.06222874777168405,0.6428558065304424,False,True,-0.15083837683345336,0.0930983144315481
-1,0.0,0.0,,True,True,0.0,0.0
0,-0.03295836452739662,0.07367191656697634,0.6547645523030501,False,False,-0.17735532099867024,0.11143859194387701
1,0.053995970803388596,0.06473971350331137,0.40457156882381984,False,False,-0.07289386766310167,0.18088580926987885
2,0.020096212251952027,0.07652812453166094,0.792945758873191,False,False,-0.12989891183010344,0.17009133633400747
3,-0.20028241379369283,0.0894359503028331,0.025479483468920483,False,False,-0.3755768763872457,-0.02498795120013994
4,-0.02952322920563028,0.07375552360697579,0.6890827464398714,False,False,-0.1740840554753028,0.11503759706404226
5,-0.052300203389083685,0.055881148294787054,0.3496748776765166,False,False,-0.16182725404686632,0.057226847268698935
6,-0.08540500951212372,0.05793523674870129,0.14094331861833398,False,False,-0.19895807353957823,0.028148054515330798
7,-0.12190616077668301,0.09277606700109861,0.18933174014449983,False,False,-0.3037472520988363,0.05993493054547028
8,-0.01271772057609256,0.07679247563763172,0.8685159596193794,False,False,-0.16323097282585072,0.13779553167366562
9,-0.12868839410480198,0.07556499663227563,0.08905987889672384,False,False,-0.2767957875040622,0.019418999294458256
10,-0.07818014284701927,0.06499969079965741,0.22951583669259645,False,False,-0.2055795368143478,0.049219251120309254
11,-0.08714640323221234,0.06310304918430776,0.16776486309684002,False,False,-0.21082837963345555,0.03653557316903086
12,-0.08339217871820812,0.08567957142035303,0.33077750023754326,False,False,-0.2513241387021,0.08453978126568382
13,-0.19011185647236373,0.10856303901857085,0.08040558874741621,False,False,-0.40289541294876263,0.02267170000403515
14,-0.001395287961818038,0.06611420199415495,0.9831692305127322,False,False,-0.13097912387036173,0.12818854794672566
15,0.04637963117144543,0.0851158277013714,0.5860156091299182,False,False,-0.1204473911232425,0.21320665346613338
16,-0.13614483218275988,0.06345125982933,0.03228281246672626,False,False,-0.2605093014482467,-0.01178036291727308
17,-0.12418189766879464,0.08445276005508259,0.14194608230192207,False,False,-0.2897093073767565,0.041345512039167226
18,-0.08408035965346927,0.05610372301424855,0.13446455530113832,False,False,-0.19404365676139643,0.025882937454457883
19,-0.02541469322892908,0.06690859944207814,0.7041911553053324,False,False,-0.15655554813540223,0.10572616167754406
20,-0.03923199547224545,0.06998663783455149,0.5752946682697528,False,False,-0.17640580562796637,0.09794181468347546
21,0.006035712137022896,0.06457836245938309,0.9255652490596811,False,False,-0.12053787828336796,0.13260930255741374
22,-0.012314420885887769,0.0628752210935499,0.8447870842593639,False,False,-0.13554985422924556,0.11092101245747003
23,0.040917906080474686,0.06374085202070989,0.5211453317494632,False,False,-0.0840141638801167,0.16584997604106608
24,-0.005689648320309001,0.05138978226983576,0.9118772828003521,False,False,-0.1064136215691871,0.09503432492856909
