t,coef,se,p_value,is_reference,is_pre,ci_low,ci_high
-12,-0.05334658352472758,0.11064854406948506,0.6298841455832629,False,True,-0.2702177299009183,0.16352456285146313
-11,-0.12748733242109228,0.14217039509324295,0.37021084993895936,False,True,-0.40614130680384847,0.1511666419616639
-10,0.03752635688748086,0.15123681523199697,0.804115111355199,False,True,-0.2588978009672332,0.3339505147421949
-9,0.018153162620207934,0.13497333238460965,0.8930546999801432,False,True,-0.24639456885362698,0.28270089409404286
-8,-0.027759422155492833,0.14048519054003128,0.8434244886576825,False,True,-0.30311039561395414,0.2475915513029685
-7,-0.16424426854593718,0.1224248163142701,0.18021293297222618,False,True,-0.4041969085219066,0.0757083714300322
-6,-0.12416941572494151,0.14619765500032983,0.39602376924541094,False,True,-0.410716819525588,0.16237798807570497
-5,-0.2235667638058669,0.13198486207512966,0.09078358510871531,False,True,-0.48225709347312107,0.035123565861387235
-4,-0.15121228553629473,0.12775124659516993,0.23700096100139012,False,True,-0.4016047288628278,0.09918015779023831
-3,-0.10386650181725297,0.127292589956494,0.4148286180984777,False,True,-0.3533599781319812,0.14562697449747525
-2,0.005897205306941639,0.1396111370968322,0.9663206253110848,False,True,-0.2677406234028495,0.2795350340167328
-1,0.0,0.0,,True,True,0.0,0.0
0,0.4509339684268649,0.15233715745858087,0.0031912986314426295,False,False,0.15235313980804638,0.7495147970456835
1,0.041762218512656796,0.15400706429545985,0.7863487803032905,False,False,-0.26009162750644454,0.3436160645317581
2,-0.1762436861953548,0.15143966775454898,0.24495184958220184,False,False,-0.4730654349942708,0.12057806260356119
3,-0.28263314268978507,0.1452890170003564,0.05218276861818327,False,False,-0.5673996160104836,0.002133330630913477
4,-0.06129949485663149,0.1357861672341753,0.6518273187712387,False,False,-0.3274403826356151,0.2048413929223521
5,0.04516309902309204,0.13214574135311358,0.7326403195840854,False,False,-0.21384255402901056,0.30416875207519467
6,-0.011470037430389008,0.1342228005119735,0.9319267396118642,False,False,-0.274546726433857,0.25160665157307904
7,-0.10587896061365963,0.15137491474833145,0.48453075563363424,False,False,-0.4025737935203893,0.19081587229307
8,-0.033346016585797084,0.14979287588533347,0.8239081895189926,False,False,-0.3269400533210507,0.26024802014945647
9,-0.4243887432549476,0.12581318960893625,0.0007887852709125287,False,False,-0.6709825948884627,-0.17779489162143253
10,-0.35394100194630346,0.14718416209912036,0.016471972672930768,False,False,-0.6424219596605794,-0.06546004423202756
11,0.021465255130021125,0.12146369381505527,0.8597840706234927,False,False,-0.2166035847474872,0.25953409500752944
12,-0.28722039760112283,0.1490797916810725,0.05447768558752841,False,False,-0.5794167892960249,0.004975994093779246
13,-0.4391005118766804,0.14246961508572833,0.0021457291300932546,False,False,-0.7183409574447079,-0.1598600663086529
14,-0.16311239200619934,0.13935219404485713,0.24224191962638475,False,False,-0.4362426923341193,0.11001790832172062
15,-0.45661099916805364,0.14161147092157603,0.0013278596144328247,False,False,-0.7341694821743426,-0.17905251616176465
16,-0.6225981533175378,0.15325597792785028,5.470647568772691e-05,False,False,-0.9229798700561243,-0.3222164365789512
17,-0.41799878582875577,0.1511282742262493,0.005844326834229641,False,False,-0.7142102033122044,-0.12178736834530712
18,-0.5127589307570254,0.1486704077531702,0.0006004006232340764,False,False,-0.804152929953239,-0.22136493156081183
19,-0.3634241303251725,0.15839697735299182,0.022097317177133258,False,False,-0.6738822059370364,-0.052966054713308564
20,-0.11078750255352751,0.13883873084830886,0.42519637829843515,False,False,-0.38291141501621284,0.16133640990915785
21,-0.13333939685522841,0.12306850361793079,0.2790215500935589,False,False,-0.37455366394637274,0.10787487023591591
22,-0.017660749820141205,0.1354414107286787,0.8962964548615493,False,False,-0.2831259148483515,0.24780441520806906
23,0.07296058587612872,0.15055563618371806,0.6281228467412032,False,False,-0.2221284610439587,0.36804963279621616
24,-0.018200621028171927,0.11456102738299032,0.8738202379566693,False,False,-0.24274023469883296,0.2063389926424891
