t,coef,se,p_value,is_reference,is_pre,ci_low,ci_high
-12,-194.3596919254194,266.2103138266937,0.4656023658493118,False,True,-716.1319070257391,327.41252317490034
-11,-349.4579953525753,428.8335302134387,0.4154364043706713,False,True,-1189.971714570915,491.0557238657645
-10,-193.28481594475804,399.0516964538006,0.628299034606024,False,True,-975.4261409942072,588.8565091046911
-9,-238.66686325705498,337.66217775895615,0.47993962754852726,False,True,-900.484731664609,423.15100515049903
-8,-269.3917785922361,307.80407569946976,0.38179677689028413,False,True,-872.6877669631967,333.9042097787246
-7,-383.52163647690276,260.0247095548272,0.14072899900239833,False,True,-893.1700672043642,126.12679425055859
-6,-301.74007322951326,246.35850430071724,0.22110952587247112,False,True,-784.6027416589191,181.12259519989254
-5,-439.4320292695306,273.1857862216906,0.10821812065222924,False,True,-974.876170264044,96.01211172498296
-4,-321.21171566486595,301.209496600483,0.2866497953704428,False,True,-911.5823290018127,269.15889767208074
-3,-252.98774556809673,258.93792533199394,0.32893504601886825,False,True,-760.5060792188049,254.53058808261136
-2,-126.97993389244668,173.7076085269786,0.4650529485154604,False,True,-467.4468466053247,213.48697882043132
-1,0.0,0.0,,True,True,0.0,0.0
0,-587.3553077651018,502.35844820512546,0.24276840452431392,False,False,-1571.9778662471476,397.2672507169441
1,-442.14406481928836,409.7918127907644,0.28102512518472755,False,False,-1245.3360178891867,361.04788825060984
2,-291.88714263420206,367.14639089815626,0.42690472957517933,False,False,-1011.4940687945883,427.7197835261842
3,-314.43048764736835,292.6752625255151,0.28308637777919876,False,False,-888.0740021973779,259.2130269026413
4,-308.45378578571217,296.9841994782082,0.29938113101915587,False,False,-890.5428167630002,273.6352451915759
5,-390.4764723489185,272.70383204919966,0.15267849239308884,False,False,-924.9759831653498,144.02303846751283
6,-357.1310949156824,249.8090857739616,0.15332449569610374,False,False,-846.7569030326472,132.49471320128237
7,-456.69430699183914,282.59367260934147,0.10657898134731236,False,False,-1010.5779053061483,97.18929132247007
8,-319.8480054648205,264.9411219009644,0.22779352330218794,False,False,-839.1326043907108,199.43659346106972
9,-344.3713283370966,236.5263991100885,0.1459053312555021,False,False,-807.96307059287,119.22041391867685
10,-64.57313893056993,215.38580395553055,0.7644272362350315,False,False,-486.7293146834098,357.58303682226995
11,3.335405051866027,132.8313126769104,0.9799751356724333,False,False,-257.01396779487834,263.6847778986104
12,-479.5420670887311,463.7914996705905,0.3015526482655877,False,False,-1388.5734064430885,429.48927226562625
13,-370.72967120947453,404.6840350740257,0.3599678681678886,False,False,-1163.9103799545649,422.4510375356158
14,-233.44824307733197,359.9417786659239,0.5168519898876762,False,False,-938.9341292625428,472.0376431078788
15,-170.02498680397522,306.8409548012564,0.579697819240061,False,False,-771.4332582144377,431.3832846064872
16,-252.18694973866621,289.9950756180874,0.38483765494624933,False,False,-820.5772979501176,316.20339847278507
17,-367.26423775395597,265.0043159656276,0.16627540028091703,False,False,-886.672697046586,152.14422153867406
18,-349.1514721499911,236.51374920774512,0.14038023191724136,False,False,-812.7184205971715,114.41547629718934
19,-320.0701727444505,248.2985082067786,0.19785394098271536,False,False,-806.7352488297365,166.59490334083557
20,-285.29307805591,277.1175391983117,0.3036401471341492,False,False,-828.4434548846009,257.85729877278095
21,-153.73419635413688,294.8992684377807,0.6023340063215339,False,False,-731.736762492187,424.2683697839133
22,-172.14383628427623,168.72533939979274,0.3079976975017358,False,False,-502.84550150787,158.55782893931752
23,-20.292048775469446,103.09456835689313,0.8440246740486284,False,False,-222.35740275498,181.7733052040411
24,-342.19802461889884,262.0879139772061,0.19214588836492874,False,False,-855.8903360142228,171.4942867764251
